 CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
 103.41%             348.5MiB / 1.944GiB   17.51%              134MB / 178MB       0B / 0B             233
 103.41%             348.5MiB / 1.944GiB   17.51%              134MB / 178MB       0B / 0B             233
 102.56%             349.3MiB / 1.944GiB   17.55%              136MB / 181MB       0B / 0B             233
 102.56%             349.3MiB / 1.944GiB   17.55%              136MB / 181MB       0B / 0B             233
 101.99%             349.5MiB / 1.944GiB   17.56%              137MB / 183MB       0B / 0B             233
 101.99%             349.5MiB / 1.944GiB   17.56%              137MB / 183MB       0B / 0B             233
 102.85%             349.8MiB / 1.944GiB   17.57%              139MB / 186MB       0B / 0B             233
 102.85%             349.8MiB / 1.944GiB   17.57%              139MB / 186MB       0B / 0B             233
 102.55%             349.8MiB / 1.944GiB   17.57%              141MB / 188MB       0B / 0B             233
 102.55%             349.8MiB / 1.944GiB   17.57%              141MB / 188MB       0B / 0B             233
 106.28%             350.3MiB / 1.944GiB   17.60%              143MB / 191MB       0B / 0B             233
 106.28%             350.3MiB / 1.944GiB   17.60%              143MB / 191MB       0B / 0B             233
 103.03%             350.5MiB / 1.944GiB   17.61%              145MB / 193MB       0B / 0B             233
 103.03%             350.5MiB / 1.944GiB   17.61%              145MB / 193MB       0B / 0B             233
 103.09%             347.7MiB / 1.944GiB   17.47%              147MB / 195MB       0B / 0B             233
 103.09%             347.7MiB / 1.944GiB   17.47%              147MB / 195MB       0B / 0B             233
 102.43%             347.6MiB / 1.944GiB   17.46%              149MB / 198MB       0B / 0B             233
 102.43%             347.6MiB / 1.944GiB   17.46%              149MB / 198MB       0B / 0B             233
 102.90%             347.9MiB / 1.944GiB   17.48%              151MB / 201MB       0B / 0B             233
 102.90%             347.9MiB / 1.944GiB   17.48%              151MB / 201MB       0B / 0B             233
 103.23%             348.5MiB / 1.944GiB   17.51%              152MB / 203MB       0B / 0B             233
 103.23%             348.5MiB / 1.944GiB   17.51%              152MB / 203MB       0B / 0B             233
 103.77%             350.8MiB / 1.944GiB   17.62%              154MB / 205MB       0B / 0B             233
 103.77%             350.8MiB / 1.944GiB   17.62%              154MB / 205MB       0B / 0B             233
 105.17%             352MiB / 1.944GiB   17.68%              156MB / 208MB       0B / 0B             233
 105.17%             352MiB / 1.944GiB   17.68%              156MB / 208MB       0B / 0B             233
 104.49%             352.1MiB / 1.944GiB   17.69%              158MB / 210MB       0B / 0B             233
 104.49%             352.1MiB / 1.944GiB   17.69%              158MB / 210MB       0B / 0B             233
 106.57%             352.2MiB / 1.944GiB   17.69%              160MB / 213MB       0B / 0B             233
