CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
41.06%              320.5MiB / 1.944GiB   16.10%              158MB / 124MB       0B / 0B             230
40.32%              321.1MiB / 1.944GiB   16.13%              160MB / 125MB       0B / 0B             230
40.32%              321.1MiB / 1.944GiB   16.13%              160MB / 125MB       0B / 0B             230
40.16%              321.3MiB / 1.944GiB   16.14%              162MB / 127MB       0B / 0B             230
40.16%              321.3MiB / 1.944GiB   16.14%              162MB / 127MB       0B / 0B             230
42.92%              321.7MiB / 1.944GiB   16.16%              164MB / 129MB       0B / 0B             230
42.92%              321.7MiB / 1.944GiB   16.16%              164MB / 129MB       0B / 0B             230
38.00%              321.9MiB / 1.944GiB   16.17%              166MB / 130MB       0B / 0B             230
38.00%              321.9MiB / 1.944GiB   16.17%              166MB / 130MB       0B / 0B             230
40.65%              322.3MiB / 1.944GiB   16.19%              168MB / 132MB       0B / 0B             230
40.65%              322.3MiB / 1.944GiB   16.19%              168MB / 132MB       0B / 0B             230
39.27%              322.5MiB / 1.944GiB   16.20%              170MB / 134MB       0B / 0B             230
39.27%              322.5MiB / 1.944GiB   16.20%              170MB / 134MB       0B / 0B             230
38.47%              323.2MiB / 1.944GiB   16.24%              172MB / 135MB       0B / 0B             230
38.47%              323.2MiB / 1.944GiB   16.24%              172MB / 135MB       0B / 0B             230
40.82%              323.4MiB / 1.944GiB   16.25%              175MB / 137MB       0B / 0B             230
40.82%              323.4MiB / 1.944GiB   16.25%              175MB / 137MB       0B / 0B             230
37.76%              323.7MiB / 1.944GiB   16.26%              177MB / 138MB       0B / 0B             230
37.76%              323.7MiB / 1.944GiB   16.26%              177MB / 138MB       0B / 0B             230
41.10%              323.8MiB / 1.944GiB   16.27%              179MB / 140MB       0B / 0B             230
41.10%              323.8MiB / 1.944GiB   16.27%              179MB / 140MB       0B / 0B             230
37.34%              324.3MiB / 1.944GiB   16.29%              181MB / 142MB       0B / 0B             230
37.34%              324.3MiB / 1.944GiB   16.29%              181MB / 142MB       0B / 0B             230
42.31%              324.7MiB / 1.944GiB   16.31%              183MB / 144MB       0B / 0B             230
42.31%              324.7MiB / 1.944GiB   16.31%              183MB / 144MB       0B / 0B             230
39.83%              325.2MiB / 1.944GiB   16.34%              185MB / 145MB       0B / 0B             230
39.83%              325.2MiB / 1.944GiB   16.34%              185MB / 145MB       0B / 0B             230
38.56%              325.3MiB / 1.944GiB   16.34%              187MB / 147MB       0B / 0B             230
38.56%              325.3MiB / 1.944GiB   16.34%              187MB / 147MB       0B / 0B             230
41.62%              325.5MiB / 1.944GiB   16.36%              189MB / 148MB       0B / 0B             230
41.62%              325.5MiB / 1.944GiB   16.36%              189MB / 148MB       0B / 0B             230
43.03%              325.9MiB / 1.944GiB   16.37%              191MB / 150MB       0B / 0B             230
43.03%              325.9MiB / 1.944GiB   16.37%              191MB / 150MB       0B / 0B             230
40.07%              326.3MiB / 1.944GiB   16.40%              193MB / 152MB       0B / 0B             230
40.07%              326.3MiB / 1.944GiB   16.40%              193MB / 152MB       0B / 0B             230
41.31%              326.6MiB / 1.944GiB   16.41%              196MB / 153MB       0B / 0B             230
41.31%              326.6MiB / 1.944GiB   16.41%              196MB / 153MB       0B / 0B             230
39.49%              326.8MiB / 1.944GiB   16.42%              198MB / 155MB       0B / 0B             230
39.49%              326.8MiB / 1.944GiB   16.42%              198MB / 155MB       0B / 0B             230
40.35%              327.3MiB / 1.944GiB   16.45%              200MB / 157MB       0B / 0B             230
40.35%              327.3MiB / 1.944GiB   16.45%              200MB / 157MB       0B / 0B             230
41.06%              327.4MiB / 1.944GiB   16.45%              202MB / 158MB       0B / 0B             230
41.06%              327.4MiB / 1.944GiB   16.45%              202MB / 158MB       0B / 0B             230
54.51%              327.7MiB / 1.944GiB   16.47%              204MB / 160MB       0B / 0B             230
54.51%              327.7MiB / 1.944GiB   16.47%              204MB / 160MB       0B / 0B             230
38.31%              328.1MiB / 1.944GiB   16.49%              206MB / 162MB       0B / 0B             230
38.31%              328.1MiB / 1.944GiB   16.49%              206MB / 162MB       0B / 0B             230
41.14%              328.6MiB / 1.944GiB   16.51%              208MB / 163MB       0B / 0B             230
41.14%              328.6MiB / 1.944GiB   16.51%              208MB / 163MB       0B / 0B             230
40.25%              328.9MiB / 1.944GiB   16.53%              210MB / 165MB       0B / 0B             230
40.25%              328.9MiB / 1.944GiB   16.53%              210MB / 165MB       0B / 0B             230
41.54%              329.4MiB / 1.944GiB   16.55%              212MB / 167MB       0B / 0B             230
41.54%              329.4MiB / 1.944GiB   16.55%              212MB / 167MB       0B / 0B             230
40.84%              329.7MiB / 1.944GiB   16.56%              214MB / 169MB       0B / 0B             230
40.84%              329.7MiB / 1.944GiB   16.56%              214MB / 169MB       0B / 0B             230
42.34%              330.2MiB / 1.944GiB   16.59%              216MB / 170MB       0B / 0B             230
42.34%              330.2MiB / 1.944GiB   16.59%              216MB / 170MB       0B / 0B             230
39.64%              330.3MiB / 1.944GiB   16.60%              219MB / 172MB       0B / 0B             230
39.64%              330.3MiB / 1.944GiB   16.60%              219MB / 172MB       0B / 0B             230
40.56%              330.7MiB / 1.944GiB   16.62%              221MB / 174MB       0B / 0B             230
40.56%              330.7MiB / 1.944GiB   16.62%              221MB / 174MB       0B / 0B             230
42.35%              331.4MiB / 1.944GiB   16.65%              223MB / 175MB       0B / 0B             230
42.35%              331.4MiB / 1.944GiB   16.65%              223MB / 175MB       0B / 0B             230
38.95%              331.4MiB / 1.944GiB   16.65%              225MB / 177MB       0B / 0B             230
38.95%              331.4MiB / 1.944GiB   16.65%              225MB / 177MB       0B / 0B             230
41.51%              331.8MiB / 1.944GiB   16.67%              227MB / 178MB       0B / 0B             230
41.51%              331.8MiB / 1.944GiB   16.67%              227MB / 178MB       0B / 0B             230
44.79%              332.2MiB / 1.944GiB   16.69%              229MB / 180MB       0B / 0B             230
44.79%              332.2MiB / 1.944GiB   16.69%              229MB / 180MB       0B / 0B             230
43.58%              332.5MiB / 1.944GiB   16.70%              231MB / 182MB       0B / 0B             230
43.58%              332.5MiB / 1.944GiB   16.70%              231MB / 182MB       0B / 0B             230
41.98%              332.8MiB / 1.944GiB   16.72%              233MB / 183MB       0B / 0B             230
41.98%              332.8MiB / 1.944GiB   16.72%              233MB / 183MB       0B / 0B             230
41.90%              333.1MiB / 1.944GiB   16.74%              235MB / 185MB       0B / 0B             230
41.90%              333.1MiB / 1.944GiB   16.74%              235MB / 185MB       0B / 0B             230
44.48%              333.4MiB / 1.944GiB   16.75%              237MB / 187MB       0B / 0B             230
44.48%              333.4MiB / 1.944GiB   16.75%              237MB / 187MB       0B / 0B             230
42.18%              333.8MiB / 1.944GiB   16.77%              240MB / 188MB       0B / 0B             230
42.18%              333.8MiB / 1.944GiB   16.77%              240MB / 188MB       0B / 0B             230
42.99%              334.1MiB / 1.944GiB   16.79%              242MB / 190MB       0B / 0B             230
42.99%              334.1MiB / 1.944GiB   16.79%              242MB / 190MB       0B / 0B             230
41.59%              334.6MiB / 1.944GiB   16.81%              244MB / 192MB       0B / 0B             230
41.59%              334.6MiB / 1.944GiB   16.81%              244MB / 192MB       0B / 0B             230
48.14%              334.8MiB / 1.944GiB   16.82%              246MB / 193MB       0B / 0B             230
48.14%              334.8MiB / 1.944GiB   16.82%              246MB / 193MB       0B / 0B             230
41.46%              335.4MiB / 1.944GiB   16.85%              248MB / 195MB       0B / 0B             230
41.46%              335.4MiB / 1.944GiB   16.85%              248MB / 195MB       0B / 0B             230
44.40%              335.6MiB / 1.944GiB   16.86%              250MB / 197MB       0B / 0B             230
44.40%              335.6MiB / 1.944GiB   16.86%              250MB / 197MB       0B / 0B             230
